[0.000000] (-) TimerEvent: {}
[0.001127] (-) JobUnselected: {'identifier': 'ackermann_mux'}
[0.001569] (-) JobUnselected: {'identifier': 'automatic_braking'}
[0.002115] (-) JobUnselected: {'identifier': 'autonomous_driving_pkg'}
[0.002446] (-) JobUnselected: {'identifier': 'f1tenth_stack'}
[0.002772] (-) JobUnselected: {'identifier': 'follow_gap'}
[0.003097] (-) JobUnselected: {'identifier': 'joy_teleop'}
[0.003422] (-) JobUnselected: {'identifier': 'joystick_ros2'}
[0.003747] (-) JobUnselected: {'identifier': 'key_teleop'}
[0.004068] (-) JobUnselected: {'identifier': 'mouse_teleop'}
[0.004388] (-) JobUnselected: {'identifier': 'person_follow'}
[0.004706] (-) JobUnselected: {'identifier': 'teleop_tools'}
[0.005028] (-) JobUnselected: {'identifier': 'teleop_tools_msgs'}
[0.005394] (-) JobUnselected: {'identifier': 'vesc'}
[0.005749] (-) JobUnselected: {'identifier': 'vesc_ackermann'}
[0.006269] (-) JobUnselected: {'identifier': 'vesc_driver'}
[0.006594] (-) JobUnselected: {'identifier': 'vesc_msgs'}
[0.006917] (-) JobUnselected: {'identifier': 'voice_control'}
[0.007237] (-) JobUnselected: {'identifier': 'wall_following'}
[0.007558] (-) EventReactorShutdown: {}
